Control ID,Trust Service Category,Control Description,Control Owner,Implementation Status,Testing Frequency,Evidence Type,Evidence Location,Last Test Date,Test Result,Remediation Required,Notes
CC1.1,Common Criteria,Management establishes structures and processes to support achievement of objectives,CISO,Implemented,Annual,Policy Documentation,/compliance/policies/governance-policy.pdf,2023-11-15,Pass,No,Board-approved governance framework
CC1.2,Common Criteria,Management establishes oversight responsibilities,CISO,Implemented,Annual,Board Minutes,/compliance/board-minutes/2023-governance-review.pdf,2023-10-20,Pass,No,Quarterly board reviews documented
CC2.1,Common Criteria,Management communicates information internally,HR Director,Implemented,Semi-Annual,Training Records,/compliance/training/security-awareness-2023.xlsx,2023-09-30,Pass,No,95% completion rate achieved
CC2.2,Common Criteria,Management communicates information externally,Legal Counsel,Implemented,Annual,Privacy Policy,/compliance/external/privacy-policy-v2.1.pdf,2023-08-15,Pass,No,Updated for new regulations
CC3.1,Common Criteria,Management specifies objectives with sufficient clarity,CISO,Implemented,Annual,Strategic Plan,/compliance/strategy/security-objectives-2024.pdf,2023-12-01,Pass,No,Aligned with business objectives
CC3.2,Common Criteria,Management identifies and analyzes risks,Risk Manager,Implemented,Quarterly,Risk Register,/compliance/risk/risk-register-q4-2023.xlsx,2023-12-15,Pass,No,47 risks identified and assessed
CC4.1,Common Criteria,Management selects and develops control activities,IT Operations Manager,Implemented,Semi-Annual,Control Documentation,/compliance/controls/control-catalog-v3.2.pdf,2023-11-30,Pass,No,127 controls documented
CC4.2,Common Criteria,Management selects and develops technology controls,IT Security Manager,Implemented,Quarterly,Technical Controls Audit,/compliance/audits/tech-controls-q4-2023.pdf,2023-12-10,Pass,No,All critical controls operational
CC5.1,Common Criteria,Management selects and develops ongoing monitoring activities,SOC Manager,Implemented,Monthly,Monitoring Reports,/compliance/monitoring/monthly-report-dec-2023.pdf,2023-12-31,Pass,No,Continuous monitoring active
CC5.2,Common Criteria,Management evaluates and communicates deficiencies,Compliance Officer,Implemented,Quarterly,Deficiency Reports,/compliance/deficiencies/q4-2023-summary.pdf,2023-12-20,Pass,No,3 minor deficiencies remediated
CC6.1,Common Criteria,Management establishes logical access security measures,Identity Manager,Implemented,Monthly,Access Reviews,/compliance/access/monthly-access-review-dec-2023.xlsx,2023-12-31,Pass,No,99.2% compliance rate
CC6.2,Common Criteria,Management restricts logical access,Identity Manager,Implemented,Monthly,Privileged Access Review,/compliance/access/privileged-access-dec-2023.xlsx,2023-12-31,Pass,No,All admin accounts reviewed
CC6.3,Common Criteria,Management manages credentials for existing users,Identity Manager,Implemented,Quarterly,Password Policy Compliance,/compliance/access/password-compliance-q4-2023.pdf,2023-12-15,Pass,No,MFA enabled for 100% of users
CC7.1,Common Criteria,Management designs and implements system monitoring,SOC Manager,Implemented,Daily,SIEM Reports,/compliance/monitoring/siem-daily-reports/,2023-12-31,Pass,No,24/7 monitoring operational
CC7.2,Common Criteria,Management monitors system capacity,Infrastructure Manager,Implemented,Weekly,Capacity Reports,/compliance/capacity/weekly-capacity-dec-2023.xlsx,2023-12-31,Pass,No,All systems within thresholds
CC8.1,Common Criteria,Management authorizes and manages changes,Change Manager,Implemented,Weekly,Change Records,/compliance/change/change-log-dec-2023.xlsx,2023-12-31,Pass,No,100% changes approved
A1.1,Availability,Management maintains availability commitments,SRE Manager,Implemented,Monthly,SLA Reports,/compliance/availability/sla-report-dec-2023.pdf,2023-12-31,Pass,No,99.9% uptime achieved
A1.2,Availability,Management monitors system performance,SRE Manager,Implemented,Daily,Performance Dashboards,/compliance/performance/daily-metrics/,2023-12-31,Pass,No,All KPIs within targets
A1.3,Availability,Management monitors system capacity and usage,Infrastructure Manager,Implemented,Weekly,Capacity Planning,/compliance/capacity/capacity-forecast-q1-2024.xlsx,2023-12-20,Pass,No,6-month capacity planned
P1.1,Processing Integrity,Management designs and implements controls over processing,Data Manager,Implemented,Monthly,Data Quality Reports,/compliance/data/quality-report-dec-2023.pdf,2023-12-31,Pass,No,99.8% data accuracy
P1.2,Processing Integrity,Management monitors system processing,Data Manager,Implemented,Daily,Processing Logs,/compliance/data/processing-logs/,2023-12-31,Pass,No,Automated validation active
C1.1,Confidentiality,Management identifies and maintains confidential information,Data Protection Officer,Implemented,Quarterly,Data Classification,/compliance/data/classification-review-q4-2023.xlsx,2023-12-15,Pass,No,All data classified appropriately
C1.2,Confidentiality,Management disposes of confidential information,Data Protection Officer,Implemented,Semi-Annual,Disposal Records,/compliance/data/disposal-log-h2-2023.pdf,2023-12-30,Pass,No,Secure disposal verified
PI1.1,Privacy,Management identifies and maintains personal information,Data Protection Officer,Implemented,Quarterly,PI Inventory,/compliance/privacy/pi-inventory-q4-2023.xlsx,2023-12-15,Pass,No,GDPR compliance maintained
PI1.2,Privacy,Management disposes of personal information,Data Protection Officer,Implemented,Semi-Annual,PI Disposal Records,/compliance/privacy/pi-disposal-h2-2023.pdf,2023-12-30,Pass,No,Right to erasure implemented